ParticipantID,Condition,TrialID,EventIndex,Timestamp,TWall,Source,RawKey,RawValueBefore,RawValueAfter,Delta,MappedTarget,CandidateStepID,ActiveStepID,FusedStepID,ExpectedForStep,BeforeHelpCycleID,AfterHelpCycleID,NearestHelpCycleID,SecondsSinceLastHelp,StepCompletedByThisEvent,GateViolationCandidate,AutoCodingHint
P02,without_tutor,T01,1,2026-05-24T21:18:54.784280+00:00,1779657534.7652628,dcs_bios_raw,APU_CONTROL_SW,,0,0,apu_switch,S03,,,,,,,,no,no,
P02,without_tutor,T01,1,2026-05-24T21:18:54.784280+00:00,1779657534.7652628,dcs_bios_raw,ENGINE_CRANK_SW,,1,1,eng_crank_switch,S04;S10,,,,,,,,no,no,
P02,without_tutor,T01,1,2026-05-24T21:18:54.784280+00:00,1779657534.7652628,dcs_bios_raw,BATTERY_SW,,1,1,battery_switch,S01,,,,,,,,no,no,
P02,without_tutor,T01,1,2026-05-24T21:18:54.784280+00:00,1779657534.7652628,dcs_bios_raw,L_GEN_SW,,1,1,generator_left_switch,S01,,,,,,,,no,no,
P02,without_tutor,T01,1,2026-05-24T21:18:54.784280+00:00,1779657534.7652628,dcs_bios_raw,R_GEN_SW,,1,1,generator_right_switch,S01,,,,,,,,no,no,
P02,without_tutor,T01,1,2026-05-24T21:18:54.784280+00:00,1779657534.7652628,dcs_bios_raw,BLEED_AIR_KNOB,,2,2,bleed_air_knob,S06,,,,,,,,no,no,
P02,without_tutor,T01,2,2026-05-24T21:18:54.801295+00:00,1779657534.7977886,dcs_bios_raw,INT_THROTTLE_LEFT,,6003,6003,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P02,without_tutor,T01,2,2026-05-24T21:18:54.801295+00:00,1779657534.7977886,dcs_bios_raw,INT_THROTTLE_RIGHT,,6003,6003,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P02,without_tutor,T01,2,2026-05-24T21:18:54.801295+00:00,1779657534.7977886,dcs_bios_raw,PRESSURE_ALT,,7,7,,,,,,,,,,no,no,unmapped_raw_key
P02,without_tutor,T01,3,2026-05-24T21:18:54.838825+00:00,1779657534.835825,dcs_bios_raw,INT_THROTTLE_LEFT,6003,5531,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
