cycle_index,help_cycle_id,trigger_wall_s,generation_mode,vision_used,vision_status,vision_fact_status,vlm_call_status,vision_fallback_reason,sync_delta_ms,frame_ids,layout_id,fused_step_id,fused_missing_conditions,model_next_step_id,overlay_targets,overlay_executed,overlay_rejected,overlay_dropped,overlay_dry_run_count,response_status,fallback_overlay_used,fallback_overlay_reason,response_mapping_failure_codes,observability_status,requires_visual_confirmation,scenario_profile
0,1219a648-c997-4ad8-9789-d03252958656,1780186304.9984584,model,True,partial,available,called,,100,1780186297925_000000,fa18c_composite_panel_v2,S08,,S08,left_mdi_pb18,1,0,0,0,ok,True,final_evidence_consistency_validator,,observable,False,airfield
1,fb7e291a-e83b-443a-8217-bf9ca0fcd2e5,1780186421.2354975,model,True,partial,available,called,,79,1780186414585_000001,fa18c_composite_panel_v2,S20,,S20,refuel_probe_switch,1,0,0,0,ok,True,validator_action_hint,,observable,False,airfield
2,0f04cbe0-8449-4f33-8acb-026e5f0d4f31,1780186452.3750021,model,True,partial,vision_not_required,not_required,,84,1780186451885_000002,fa18c_composite_panel_v2,S22,,S22,launch_bar_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
3,60f1e81a-7660-400e-b477-106f0e71e336,1780186468.0185475,model,True,partial,vision_not_required,not_required,,75,1780186467554_000003,fa18c_composite_panel_v2,S24,,S24,arresting_hook_handle,1,0,0,0,ok,False,not_needed,,observable,False,airfield
4,f1ca9d13-546a-46fb-96b7-6de609c9bc07,1780186482.6467426,model,True,partial,vision_not_required,not_required,,92,1780186482172_000004,fa18c_composite_panel_v2,S28,,S28,parking_brake_handle,1,0,0,0,ok,False,not_needed,,observable,False,airfield
5,a0c7c2a1-4c0a-4bea-91a4-823d8d5db92e,1780186490.6882818,model,True,partial,vision_not_required,not_required,,86,1780186490171_000005,fa18c_composite_panel_v2,S29,,S29,ifei_up_button,1,0,0,0,ok,False,not_needed,,observable,False,airfield
6,5a65e1f9-2fa4-4e41-ba86-a628d6e2884d,1780186499.7392926,model,True,partial,vision_not_required,not_required,,65,1780186499263_000006,fa18c_composite_panel_v2,S33,,S33,,0,0,0,0,ok,False,final_evidence_consistency_validator,,observable,False,airfield
