cycle_index,help_cycle_id,trigger_wall_s,generation_mode,vision_used,vision_status,vision_fact_status,vlm_call_status,vision_fallback_reason,sync_delta_ms,frame_ids,layout_id,fused_step_id,fused_missing_conditions,model_next_step_id,overlay_targets,overlay_executed,overlay_rejected,overlay_dropped,overlay_dry_run_count,response_status,fallback_overlay_used,fallback_overlay_reason,response_mapping_failure_codes,observability_status,requires_visual_confirmation,scenario_profile
0,959fea00-ccc4-42e3-8486-fad41f728ee1,1780271150.3291867,model,True,partial,vision_not_required,not_required,,99,1780271149790_000000,fa18c_composite_panel_v2,S02,vars.fire_test_a_complete==true,S02,fire_test_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
1,c7847985-15ea-44a2-953a-7f5c81b01211,1780271229.984402,model,True,partial,vision_not_required,not_required,,91,1780271229572_000001,fa18c_composite_panel_v2,S07,vars.lights_test_complete==true,S07,lights_test_button,1,0,0,0,ok,False,not_needed,,observable,False,airfield
2,975e8459-6b51-4c81-87f4-a41bed4eed64,1780271245.0458446,model,True,partial,available,called,,71,1780271238401_000002,fa18c_composite_panel_v2,S08,,S08,left_mdi_brightness_selector;right_mdi_brightness_selector;ampcd_off_brightness_knob;hud_symbology_brightness_knob,4,0,0,0,ok,True,state_action_planner,,observable,False,airfield
3,4ca007cb-5d41-4307-a4d4-b5347220d9c0,1780271267.6243136,model,True,partial,available,called,,71,1780271260824_000003,fa18c_composite_panel_v2,S08,,S08,left_mdi_pb18,1,0,0,0,ok,True,final_evidence_consistency_validator,,observable,False,airfield
4,d1a2c1f4-56ae-4141-afe7-bf1ceb9b05a6,1780271291.8731642,model,True,partial,available,called,,75,1780271285104_000004,fa18c_composite_panel_v2,S10,,S10,eng_crank_switch,1,0,0,0,ok,True,state_action_planner,,observable,False,airfield
5,9ed4e8f5-879b-403b-bd1b-29e685325db9,1780271357.0596688,model,True,partial,available,called,,77,1780271350218_000005,fa18c_composite_panel_v2,S18,,S18,right_mdi_pb5,1,0,0,0,ok,False,not_needed,,partial,True,airfield
6,ed6cb2aa-c3f5-4f85-b682-107ac9922ae6,1780271458.8707776,model,True,partial,available,called,,93,1780271452048_000006,fa18c_composite_panel_v2,S20,,S20,refuel_probe_switch,1,0,0,0,ok,True,validator_action_hint,,observable,False,airfield
