ParticipantID,Condition,TrialID,EventIndex,Timestamp,TWall,Source,RawKey,RawValueBefore,RawValueAfter,Delta,MappedTarget,CandidateStepID,ActiveStepID,FusedStepID,ExpectedForStep,BeforeHelpCycleID,AfterHelpCycleID,NearestHelpCycleID,SecondsSinceLastHelp,StepCompletedByThisEvent,GateViolationCandidate,AutoCodingHint
P07,without_tutor,T01,1,2026-05-31T23:23:54.385107+00:00,1780269834.366083,dcs_bios_raw,APU_CONTROL_SW,,0,0,apu_switch,S03,,,,,,,,no,no,
P07,without_tutor,T01,1,2026-05-31T23:23:54.385107+00:00,1780269834.366083,dcs_bios_raw,ENGINE_CRANK_SW,,1,1,eng_crank_switch,S04;S10,,,,,,,,no,no,
P07,without_tutor,T01,1,2026-05-31T23:23:54.385107+00:00,1780269834.366083,dcs_bios_raw,BATTERY_SW,,1,1,battery_switch,S01,,,,,,,,no,no,
P07,without_tutor,T01,1,2026-05-31T23:23:54.385107+00:00,1780269834.366083,dcs_bios_raw,L_GEN_SW,,1,1,generator_left_switch,S01,,,,,,,,no,no,
P07,without_tutor,T01,1,2026-05-31T23:23:54.385107+00:00,1780269834.366083,dcs_bios_raw,R_GEN_SW,,1,1,generator_right_switch,S01,,,,,,,,no,no,
P07,without_tutor,T01,1,2026-05-31T23:23:54.385107+00:00,1780269834.366083,dcs_bios_raw,BLEED_AIR_KNOB,,2,2,bleed_air_knob,S06,,,,,,,,no,no,
P07,without_tutor,T01,2,2026-05-31T23:23:54.401125+00:00,1780269834.3986235,dcs_bios_raw,INT_THROTTLE_LEFT,,6003,6003,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,2,2026-05-31T23:23:54.401125+00:00,1780269834.3986235,dcs_bios_raw,INT_THROTTLE_RIGHT,,6003,6003,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,2,2026-05-31T23:23:54.401125+00:00,1780269834.3986235,dcs_bios_raw,PRESSURE_ALT,,6,6,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,3,2026-05-31T23:23:54.434672+00:00,1780269834.431677,dcs_bios_raw,INT_THROTTLE_LEFT,6003,5609,-394,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,3,2026-05-31T23:23:54.434672+00:00,1780269834.431677,dcs_bios_raw,INT_THROTTLE_RIGHT,6003,5609,-394,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,3,2026-05-31T23:23:54.434672+00:00,1780269834.431677,dcs_bios_raw,PRESSURE_ALT,6,39,33,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,4,2026-05-31T23:23:54.469227+00:00,1780269834.4652333,dcs_bios_raw,INT_THROTTLE_LEFT,5609,5137,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,4,2026-05-31T23:23:54.469227+00:00,1780269834.4652333,dcs_bios_raw,INT_THROTTLE_RIGHT,5609,5137,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,4,2026-05-31T23:23:54.469227+00:00,1780269834.4652333,dcs_bios_raw,VSI,,32766,32766,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,4,2026-05-31T23:23:54.469227+00:00,1780269834.4652333,dcs_bios_raw,PRESSURE_ALT,39,68,29,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,5,2026-05-31T23:23:54.501289+00:00,1780269834.498779,dcs_bios_raw,INT_THROTTLE_LEFT,5137,4744,-393,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,5,2026-05-31T23:23:54.501289+00:00,1780269834.498779,dcs_bios_raw,INT_THROTTLE_RIGHT,5137,4744,-393,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,5,2026-05-31T23:23:54.501289+00:00,1780269834.498779,dcs_bios_raw,VSI,32766,32764,-2,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,5,2026-05-31T23:23:54.501289+00:00,1780269834.498779,dcs_bios_raw,PRESSURE_ALT,68,94,26,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,6,2026-05-31T23:23:54.534844+00:00,1780269834.5318348,dcs_bios_raw,INT_THROTTLE_LEFT,4744,4272,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,6,2026-05-31T23:23:54.534844+00:00,1780269834.5318348,dcs_bios_raw,INT_THROTTLE_RIGHT,4744,4272,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,6,2026-05-31T23:23:54.534844+00:00,1780269834.5318348,dcs_bios_raw,VSI,32764,32761,-3,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,6,2026-05-31T23:23:54.534844+00:00,1780269834.5318348,dcs_bios_raw,PRESSURE_ALT,94,115,21,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,7,2026-05-31T23:23:54.567380+00:00,1780269834.5653806,dcs_bios_raw,INT_THROTTLE_LEFT,4272,3879,-393,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,7,2026-05-31T23:23:54.567380+00:00,1780269834.5653806,dcs_bios_raw,INT_THROTTLE_RIGHT,4272,3879,-393,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,7,2026-05-31T23:23:54.567380+00:00,1780269834.5653806,dcs_bios_raw,VSI,32761,32757,-4,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,7,2026-05-31T23:23:54.567380+00:00,1780269834.5653806,dcs_bios_raw,PRESSURE_ALT,115,133,18,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,8,2026-05-31T23:23:54.601428+00:00,1780269834.5989244,dcs_bios_raw,INT_THROTTLE_LEFT,3879,3407,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,8,2026-05-31T23:23:54.601428+00:00,1780269834.5989244,dcs_bios_raw,INT_THROTTLE_RIGHT,3879,3407,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,8,2026-05-31T23:23:54.601428+00:00,1780269834.5989244,dcs_bios_raw,VSI,32757,32753,-4,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,8,2026-05-31T23:23:54.601428+00:00,1780269834.5989244,dcs_bios_raw,PRESSURE_ALT,133,149,16,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,9,2026-05-31T23:23:54.636993+00:00,1780269834.6319907,dcs_bios_raw,INT_THROTTLE_LEFT,3407,2935,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,9,2026-05-31T23:23:54.636993+00:00,1780269834.6319907,dcs_bios_raw,INT_THROTTLE_RIGHT,3407,2935,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,9,2026-05-31T23:23:54.636993+00:00,1780269834.6319907,dcs_bios_raw,VSI,32753,32749,-4,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,9,2026-05-31T23:23:54.636993+00:00,1780269834.6319907,dcs_bios_raw,PRESSURE_ALT,149,163,14,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,10,2026-05-31T23:23:54.668541+00:00,1780269834.6655412,dcs_bios_raw,INT_THROTTLE_LEFT,2935,2542,-393,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,10,2026-05-31T23:23:54.668541+00:00,1780269834.6655412,dcs_bios_raw,INT_THROTTLE_RIGHT,2935,2542,-393,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,10,2026-05-31T23:23:54.668541+00:00,1780269834.6655412,dcs_bios_raw,VSI,32749,32747,-2,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,10,2026-05-31T23:23:54.668541+00:00,1780269834.6655412,dcs_bios_raw,PRESSURE_ALT,163,174,11,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,11,2026-05-31T23:23:54.701586+00:00,1780269834.6990726,dcs_bios_raw,INT_THROTTLE_LEFT,2542,2070,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,11,2026-05-31T23:23:54.701586+00:00,1780269834.6990726,dcs_bios_raw,INT_THROTTLE_RIGHT,2542,2070,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,11,2026-05-31T23:23:54.701586+00:00,1780269834.6990726,dcs_bios_raw,VSI,32747,32746,-1,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,11,2026-05-31T23:23:54.701586+00:00,1780269834.6990726,dcs_bios_raw,PRESSURE_ALT,174,183,9,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,12,2026-05-31T23:23:54.740623+00:00,1780269834.7381206,dcs_bios_raw,INT_THROTTLE_LEFT,2070,1677,-393,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,12,2026-05-31T23:23:54.740623+00:00,1780269834.7381206,dcs_bios_raw,INT_THROTTLE_RIGHT,2070,1677,-393,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,12,2026-05-31T23:23:54.740623+00:00,1780269834.7381206,dcs_bios_raw,VSI,32746,32747,1,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,12,2026-05-31T23:23:54.740623+00:00,1780269834.7381206,dcs_bios_raw,PRESSURE_ALT,183,192,9,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,13,2026-05-31T23:23:54.775184+00:00,1780269834.7711782,dcs_bios_raw,INT_THROTTLE_LEFT,1677,1127,-550,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,13,2026-05-31T23:23:54.775184+00:00,1780269834.7711782,dcs_bios_raw,INT_THROTTLE_RIGHT,1677,1127,-550,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,13,2026-05-31T23:23:54.775184+00:00,1780269834.7711782,dcs_bios_raw,VSI,32747,32751,4,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,13,2026-05-31T23:23:54.775184+00:00,1780269834.7711782,dcs_bios_raw,PRESSURE_ALT,192,200,8,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,14,2026-05-31T23:23:54.807725+00:00,1780269834.8047326,dcs_bios_raw,INT_THROTTLE_LEFT,1127,733,-394,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,14,2026-05-31T23:23:54.807725+00:00,1780269834.8047326,dcs_bios_raw,INT_THROTTLE_RIGHT,1127,733,-394,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,14,2026-05-31T23:23:54.807725+00:00,1780269834.8047326,dcs_bios_raw,VSI,32751,32756,5,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,14,2026-05-31T23:23:54.807725+00:00,1780269834.8047326,dcs_bios_raw,PRESSURE_ALT,200,206,6,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,15,2026-05-31T23:23:54.840758+00:00,1780269834.8382494,dcs_bios_raw,INT_THROTTLE_LEFT,733,262,-471,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,15,2026-05-31T23:23:54.840758+00:00,1780269834.8382494,dcs_bios_raw,INT_THROTTLE_RIGHT,733,262,-471,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,15,2026-05-31T23:23:54.840758+00:00,1780269834.8382494,dcs_bios_raw,VSI,32756,32761,5,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,15,2026-05-31T23:23:54.840758+00:00,1780269834.8382494,dcs_bios_raw,PRESSURE_ALT,206,211,5,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,16,2026-05-31T23:23:54.878342+00:00,1780269834.871336,dcs_bios_raw,INT_THROTTLE_LEFT,262,0,-262,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,16,2026-05-31T23:23:54.878342+00:00,1780269834.871336,dcs_bios_raw,INT_THROTTLE_RIGHT,262,0,-262,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P07,without_tutor,T01,16,2026-05-31T23:23:54.878342+00:00,1780269834.871336,dcs_bios_raw,VSI,32761,32766,5,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,16,2026-05-31T23:23:54.878342+00:00,1780269834.871336,dcs_bios_raw,PRESSURE_ALT,211,215,4,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,17,2026-05-31T23:23:54.916402+00:00,1780269834.9098923,dcs_bios_raw,VSI,32766,32771,5,,,,,,,,,,no,no,unmapped_raw_key
P07,without_tutor,T01,17,2026-05-31T23:23:54.916402+00:00,1780269834.9098923,dcs_bios_raw,PRESSURE_ALT,215,219,4,,,,,,,,,,no,no,unmapped_raw_key
