ParticipantID,Condition,TrialID,EventIndex,Timestamp,TWall,Source,RawKey,RawValueBefore,RawValueAfter,Delta,MappedTarget,CandidateStepID,ActiveStepID,FusedStepID,ExpectedForStep,BeforeHelpCycleID,AfterHelpCycleID,NearestHelpCycleID,SecondsSinceLastHelp,StepCompletedByThisEvent,GateViolationCandidate,AutoCodingHint
P06,without_tutor,T01,1,2026-05-30T23:39:47.917564+00:00,1780184387.900028,dcs_bios_raw,APU_CONTROL_SW,,0,0,apu_switch,S03,,,,,,,,no,no,
P06,without_tutor,T01,1,2026-05-30T23:39:47.917564+00:00,1780184387.900028,dcs_bios_raw,ENGINE_CRANK_SW,,1,1,eng_crank_switch,S04;S10,,,,,,,,no,no,
P06,without_tutor,T01,1,2026-05-30T23:39:47.917564+00:00,1780184387.900028,dcs_bios_raw,BATTERY_SW,,1,1,battery_switch,S01,,,,,,,,no,no,
P06,without_tutor,T01,1,2026-05-30T23:39:47.917564+00:00,1780184387.900028,dcs_bios_raw,L_GEN_SW,,1,1,generator_left_switch,S01,,,,,,,,no,no,
P06,without_tutor,T01,1,2026-05-30T23:39:47.917564+00:00,1780184387.900028,dcs_bios_raw,R_GEN_SW,,1,1,generator_right_switch,S01,,,,,,,,no,no,
P06,without_tutor,T01,1,2026-05-30T23:39:47.917564+00:00,1780184387.900028,dcs_bios_raw,BLEED_AIR_KNOB,,2,2,bleed_air_knob,S06,,,,,,,,no,no,
P06,without_tutor,T01,2,2026-05-30T23:39:47.935096+00:00,1780184387.9320939,dcs_bios_raw,INT_THROTTLE_LEFT,,6081,6081,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,2,2026-05-30T23:39:47.935096+00:00,1780184387.9320939,dcs_bios_raw,INT_THROTTLE_RIGHT,,6081,6081,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,2,2026-05-30T23:39:47.935096+00:00,1780184387.9320939,dcs_bios_raw,PRESSURE_ALT,,5,5,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,3,2026-05-30T23:39:47.968644+00:00,1780184387.965651,dcs_bios_raw,INT_THROTTLE_LEFT,6081,5609,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,3,2026-05-30T23:39:47.968644+00:00,1780184387.965651,dcs_bios_raw,INT_THROTTLE_RIGHT,6081,5609,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,3,2026-05-30T23:39:47.968644+00:00,1780184387.965651,dcs_bios_raw,PRESSURE_ALT,5,39,34,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,4,2026-05-30T23:39:48.002696+00:00,1780184387.9991808,dcs_bios_raw,INT_THROTTLE_LEFT,5609,5137,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,4,2026-05-30T23:39:48.002696+00:00,1780184387.9991808,dcs_bios_raw,INT_THROTTLE_RIGHT,5609,5137,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,4,2026-05-30T23:39:48.002696+00:00,1780184387.9991808,dcs_bios_raw,VSI,,32766,32766,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,4,2026-05-30T23:39:48.002696+00:00,1780184387.9991808,dcs_bios_raw,PRESSURE_ALT,39,68,29,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,5,2026-05-30T23:39:48.035772+00:00,1780184388.0327718,dcs_bios_raw,INT_THROTTLE_LEFT,5137,4744,-393,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,5,2026-05-30T23:39:48.035772+00:00,1780184388.0327718,dcs_bios_raw,INT_THROTTLE_RIGHT,5137,4744,-393,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,5,2026-05-30T23:39:48.035772+00:00,1780184388.0327718,dcs_bios_raw,VSI,32766,32764,-2,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,5,2026-05-30T23:39:48.035772+00:00,1780184388.0327718,dcs_bios_raw,PRESSURE_ALT,68,94,26,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,6,2026-05-30T23:39:48.068338+00:00,1780184388.0653389,dcs_bios_raw,INT_THROTTLE_LEFT,4744,4272,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,6,2026-05-30T23:39:48.068338+00:00,1780184388.0653389,dcs_bios_raw,INT_THROTTLE_RIGHT,4744,4272,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,6,2026-05-30T23:39:48.068338+00:00,1780184388.0653389,dcs_bios_raw,VSI,32764,32761,-3,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,6,2026-05-30T23:39:48.068338+00:00,1780184388.0653389,dcs_bios_raw,PRESSURE_ALT,94,115,21,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,7,2026-05-30T23:39:48.102431+00:00,1780184388.0989072,dcs_bios_raw,INT_THROTTLE_LEFT,4272,3879,-393,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,7,2026-05-30T23:39:48.102431+00:00,1780184388.0989072,dcs_bios_raw,INT_THROTTLE_RIGHT,4272,3879,-393,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,7,2026-05-30T23:39:48.102431+00:00,1780184388.0989072,dcs_bios_raw,VSI,32761,32757,-4,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,7,2026-05-30T23:39:48.102431+00:00,1780184388.0989072,dcs_bios_raw,PRESSURE_ALT,115,133,18,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,8,2026-05-30T23:39:48.142997+00:00,1780184388.1374714,dcs_bios_raw,INT_THROTTLE_LEFT,3879,3407,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,8,2026-05-30T23:39:48.142997+00:00,1780184388.1374714,dcs_bios_raw,INT_THROTTLE_RIGHT,3879,3407,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,8,2026-05-30T23:39:48.142997+00:00,1780184388.1374714,dcs_bios_raw,VSI,32757,32753,-4,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,8,2026-05-30T23:39:48.142997+00:00,1780184388.1374714,dcs_bios_raw,PRESSURE_ALT,133,149,16,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,9,2026-05-30T23:39:48.173556+00:00,1780184388.1715462,dcs_bios_raw,INT_THROTTLE_LEFT,3407,2935,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,9,2026-05-30T23:39:48.173556+00:00,1780184388.1715462,dcs_bios_raw,INT_THROTTLE_RIGHT,3407,2935,-472,throttle_quadrant_reference,,,,,,,,,no,no,mapped_target_without_candidate_step
P06,without_tutor,T01,9,2026-05-30T23:39:48.173556+00:00,1780184388.1715462,dcs_bios_raw,VSI,32753,32749,-4,,,,,,,,,,no,no,unmapped_raw_key
P06,without_tutor,T01,9,2026-05-30T23:39:48.173556+00:00,1780184388.1715462,dcs_bios_raw,PRESSURE_ALT,149,164,15,,,,,,,,,,no,no,unmapped_raw_key
