ParticipantID,Condition,TrialID,EventIndex,Timestamp,TWall,Source,RawKey,RawValueBefore,RawValueAfter,Delta,MappedTarget,CandidateStepID,ActiveStepID,FusedStepID,ExpectedForStep,BeforeHelpCycleID,AfterHelpCycleID,NearestHelpCycleID,SecondsSinceLastHelp,StepCompletedByThisEvent,GateViolationCandidate,AutoCodingHint
P09,with_tutor,T01,1,2026-05-28T23:38:04.052058+00:00,1780011484.03882,dcs_bios_raw,APU_CONTROL_SW,,0,0,apu_switch,S03,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,
P09,with_tutor,T01,1,2026-05-28T23:38:04.052058+00:00,1780011484.03882,dcs_bios_raw,ENGINE_CRANK_SW,,1,1,eng_crank_switch,S04;S10,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,
P09,with_tutor,T01,1,2026-05-28T23:38:04.052058+00:00,1780011484.03882,dcs_bios_raw,BATTERY_SW,,1,1,battery_switch,S01,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,
P09,with_tutor,T01,1,2026-05-28T23:38:04.052058+00:00,1780011484.03882,dcs_bios_raw,L_GEN_SW,,1,1,generator_left_switch,S01,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,
P09,with_tutor,T01,1,2026-05-28T23:38:04.052058+00:00,1780011484.03882,dcs_bios_raw,R_GEN_SW,,1,1,generator_right_switch,S01,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,
P09,with_tutor,T01,1,2026-05-28T23:38:04.052058+00:00,1780011484.03882,dcs_bios_raw,BLEED_AIR_KNOB,,2,2,bleed_air_knob,S06,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,
P09,with_tutor,T01,2,2026-05-28T23:38:04.082034+00:00,1780011484.0800037,dcs_bios_raw,INT_THROTTLE_LEFT,,5924,5924,throttle_quadrant_reference,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,mapped_target_without_candidate_step
P09,with_tutor,T01,2,2026-05-28T23:38:04.082034+00:00,1780011484.0800037,dcs_bios_raw,INT_THROTTLE_RIGHT,,5924,5924,throttle_quadrant_reference,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,mapped_target_without_candidate_step
P09,with_tutor,T01,2,2026-05-28T23:38:04.082034+00:00,1780011484.0800037,dcs_bios_raw,PRESSURE_ALT,,17,17,,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,unmapped_raw_key
P09,with_tutor,T01,3,2026-05-28T23:38:04.124194+00:00,1780011484.1211534,dcs_bios_raw,INT_THROTTLE_LEFT,5924,5373,-551,throttle_quadrant_reference,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,mapped_target_without_candidate_step
P09,with_tutor,T01,3,2026-05-28T23:38:04.124194+00:00,1780011484.1211534,dcs_bios_raw,INT_THROTTLE_RIGHT,5924,5373,-551,throttle_quadrant_reference,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,mapped_target_without_candidate_step
P09,with_tutor,T01,3,2026-05-28T23:38:04.124194+00:00,1780011484.1211534,dcs_bios_raw,VSI,,32766,32766,,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,unmapped_raw_key
P09,with_tutor,T01,3,2026-05-28T23:38:04.124194+00:00,1780011484.1211534,dcs_bios_raw,PRESSURE_ALT,17,56,39,,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,unmapped_raw_key
P09,with_tutor,T01,4,2026-05-28T23:38:04.167398+00:00,1780011484.16283,dcs_bios_raw,INT_THROTTLE_LEFT,5373,4823,-550,throttle_quadrant_reference,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,mapped_target_without_candidate_step
P09,with_tutor,T01,4,2026-05-28T23:38:04.167398+00:00,1780011484.16283,dcs_bios_raw,INT_THROTTLE_RIGHT,5373,4823,-550,throttle_quadrant_reference,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,mapped_target_without_candidate_step
P09,with_tutor,T01,4,2026-05-28T23:38:04.167398+00:00,1780011484.16283,dcs_bios_raw,VSI,32766,32764,-2,,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,unmapped_raw_key
P09,with_tutor,T01,4,2026-05-28T23:38:04.167398+00:00,1780011484.16283,dcs_bios_raw,PRESSURE_ALT,56,90,34,,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,unmapped_raw_key
P09,with_tutor,T01,5,2026-05-28T23:38:04.206475+00:00,1780011484.2049546,dcs_bios_raw,INT_THROTTLE_LEFT,4823,4272,-551,throttle_quadrant_reference,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,mapped_target_without_candidate_step
P09,with_tutor,T01,5,2026-05-28T23:38:04.206475+00:00,1780011484.2049546,dcs_bios_raw,INT_THROTTLE_RIGHT,4823,4272,-551,throttle_quadrant_reference,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,mapped_target_without_candidate_step
P09,with_tutor,T01,5,2026-05-28T23:38:04.206475+00:00,1780011484.2049546,dcs_bios_raw,VSI,32764,32761,-3,,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,unmapped_raw_key
P09,with_tutor,T01,5,2026-05-28T23:38:04.206475+00:00,1780011484.2049546,dcs_bios_raw,PRESSURE_ALT,90,115,25,,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,unmapped_raw_key
P09,with_tutor,T01,6,2026-05-28T23:38:04.248156+00:00,1780011484.2451193,dcs_bios_raw,INT_THROTTLE_LEFT,4272,3722,-550,throttle_quadrant_reference,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,mapped_target_without_candidate_step
P09,with_tutor,T01,6,2026-05-28T23:38:04.248156+00:00,1780011484.2451193,dcs_bios_raw,INT_THROTTLE_RIGHT,4272,3722,-550,throttle_quadrant_reference,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,mapped_target_without_candidate_step
P09,with_tutor,T01,6,2026-05-28T23:38:04.248156+00:00,1780011484.2451193,dcs_bios_raw,VSI,32761,32756,-5,,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,unmapped_raw_key
P09,with_tutor,T01,6,2026-05-28T23:38:04.248156+00:00,1780011484.2451193,dcs_bios_raw,PRESSURE_ALT,115,137,22,,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,unmapped_raw_key
P09,with_tutor,T01,7,2026-05-28T23:38:04.289730+00:00,1780011484.2866862,dcs_bios_raw,INT_THROTTLE_LEFT,3722,3171,-551,throttle_quadrant_reference,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,mapped_target_without_candidate_step
P09,with_tutor,T01,7,2026-05-28T23:38:04.289730+00:00,1780011484.2866862,dcs_bios_raw,INT_THROTTLE_RIGHT,3722,3171,-551,throttle_quadrant_reference,,,S01,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,d3a09f05-2d49-458d-8111-4e91a84a58d5,,no,no,mapped_target_without_candidate_step
