cycle_index,help_cycle_id,trigger_wall_s,generation_mode,vision_used,vision_status,vision_fact_status,vlm_call_status,vision_fallback_reason,sync_delta_ms,frame_ids,layout_id,fused_step_id,fused_missing_conditions,model_next_step_id,overlay_targets,overlay_executed,overlay_rejected,overlay_dropped,overlay_dry_run_count,response_status,fallback_overlay_used,fallback_overlay_reason,response_mapping_failure_codes,observability_status,requires_visual_confirmation,scenario_profile
10,0f2bdd7b-c4df-4967-85d2-0cf29f9e727e,1780011823.4856963,model,True,partial,available,called,,95,1780011816686_000010,fa18c_composite_panel_v2,S08,,S08,left_mdi_pb15,1,0,0,0,ok,True,final_evidence_consistency_validator,,observable,False,airfield
11,e7800d20-dbb4-4a46-9a70-348f3c74cb78,1780011843.6590207,model,True,partial,available,called,,93,1780011836837_000011,fa18c_composite_panel_v2,S09,,S09,ufc_comm1_channel_selector_pull,1,0,0,0,ok,True,validator_action_hint,,observable,False,airfield
12,b0fb6392-6ce8-457d-b2b1-90049f7ccac6,1780011871.2004216,model,True,partial,vision_not_required,not_required,,93,1780011870720_000012,fa18c_composite_panel_v2,S10,,S10,eng_crank_switch,1,0,0,0,ok,True,state_action_planner,,observable,False,airfield
13,08b168a2-7f55-4513-9948-7f8a28623615,1780011900.1843112,model,True,partial,vision_not_required,not_required,,130,1780011899660_000013,fa18c_composite_panel_v2,S11,,S11,,0,0,0,0,ok,False,manual_throttle_keyboard_guidance,,observable,False,airfield
14,d2647c7c-284f-410b-b6a0-fe1ca7cea1d5,1780011939.6282165,model,True,partial,vision_not_required,not_required,,107,1780011939165_000014,fa18c_composite_panel_v2,S12,,S12,ins_mode_knob,1,0,0,0,ok,False,not_needed,,observable,False,airfield
15,5ecbf5e4-ce3b-4129-a556-425e5ac5e768,1780011964.5071745,model,True,partial,vision_not_required,not_required,,80,1780011964007_000015,fa18c_composite_panel_v2,S12,,S12,ampcd_pb19,1,0,0,0,ok,True,state_action_planner,,observable,False,airfield
16,ea5391c4-b248-4686-aae3-5363016bfc84,1780011985.75485,model,True,partial,vision_not_required,not_required,,81,1780011985313_000016,fa18c_composite_panel_v2,S13,,S13,radar_mode_knob,1,0,0,0,ok,False,not_needed,,observable,False,airfield
17,32b17a93-7a7f-46cf-bce8-68e09c127048,1780011999.9019701,model,True,partial,vision_not_required,not_required,,79,1780011999434_000017,fa18c_composite_panel_v2,S14,,S14,obogs_control_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
18,05a39e6b-267e-4400-a7c6-943eab0e24a6,1780012017.606651,model,True,partial,vision_not_required,not_required,,80,1780012017185_000018,fa18c_composite_panel_v2,S15,,S15,fcs_reset_button,1,0,0,0,ok,False,not_needed,,observable,False,airfield
19,dea17dd3-8cf8-412f-9c4e-22f1c1d3087a,1780012030.5766075,model,True,partial,vision_not_required,not_required,,98,1780012030151_000019,fa18c_composite_panel_v2,S16,vars.flap_auto==true,S16,flap_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
20,5d9762f2-0939-4a57-a38f-1b89ca80a42a,1780012045.4043152,model,True,partial,vision_not_required,not_required,,82,1780012044981_000020,fa18c_composite_panel_v2,S17,,S17,takeoff_trim_button,1,0,0,0,ok,False,not_needed,,observable,False,airfield
21,027205b5-3c3c-4f3f-b076-aebc0ca7af21,1780012067.9997096,model,True,partial,available,called,,100,1780012061285_000021,fa18c_composite_panel_v2,S18,,S18,right_mdi_pb5,1,0,0,0,ok,False,not_needed,,partial,True,airfield
22,9d1f331b-9ac8-413c-b9fe-abc4d1355ffb,1780012086.7188928,model,True,partial,available,called,,103,1780012079981_000022,fa18c_composite_panel_v2,S19,,S19,fcs_bit_switch;right_mdi_pb5,2,0,0,0,ok,False,not_needed,,partial,True,airfield
23,92555468-3d6b-4c73-accd-9794f14592fe,1780012115.7712407,model,True,partial,available,called,,103,1780012109156_000023,fa18c_composite_panel_v2,S19,,S19,fcs_bit_switch;right_mdi_pb5,2,0,0,0,ok,False,not_needed,,partial,True,airfield
24,855a429a-3f4f-454e-9472-e3a77470284f,1780012144.9973361,model,True,partial,available,called,,99,1780012138327_000024,fa18c_composite_panel_v2,S19,,S19,,0,0,0,0,ok,False,state_action_planner_wait,,partial,True,airfield
25,76083a17-6fc4-43bf-8d2b-6998fa03442e,1780012172.3748674,model,True,partial,available,called,,94,1780012165767_000025,fa18c_composite_panel_v2,S20,,S20,refuel_probe_switch,1,0,0,0,ok,True,validator_action_hint,,observable,False,airfield
26,8ee0f7ea-0ea1-43b3-ba07-3769cb8f12c2,1780012191.8204463,model,True,partial,vision_not_required,not_required,,91,1780012191357_000026,fa18c_composite_panel_v2,S20,"vars.ext_refuel_probe_value in [60000,65535]",S20,,0,0,0,0,ok,False,not_needed,,observable,False,airfield
27,da7d4dfe-2ddd-489f-8dcf-41a9b7d8112a,1780012217.3288772,model,True,partial,vision_not_required,not_required,,79,1780012216826_000027,fa18c_composite_panel_v2,S21,,S21,refuel_probe_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
28,f1c708d6-1d0e-48a8-a8f2-f133693452fa,1780012228.3636777,model,True,partial,vision_not_required,not_required,,78,1780012227937_000028,fa18c_composite_panel_v2,S21,,S21,refuel_probe_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
29,675b8517-5874-4532-bcdd-f94d223d7031,1780012240.7404804,model,True,partial,vision_not_required,not_required,,93,1780012240320_000029,fa18c_composite_panel_v2,S20,,S20,refuel_probe_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
30,ef544d2c-7231-4816-b4ee-fd639359fa0b,1780012257.264188,model,True,partial,vision_not_required,not_required,,92,1780012256792_000030,fa18c_composite_panel_v2,S21,,S21,refuel_probe_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
31,cbd10710-1d75-4ee5-80fe-69902d9dbc81,1780012262.1506317,model,True,partial,vision_not_required,not_required,,50,1780012261706_000031,fa18c_composite_panel_v2,S21,,S21,refuel_probe_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
32,ae40c640-663b-45b3-b93e-a1af9b070f24,1780012267.0205617,model,True,partial,vision_not_required,not_required,,51,1780012266581_000032,fa18c_composite_panel_v2,S21,,S21,refuel_probe_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
33,f3628b33-c3ad-4967-9364-1781bb90e4d0,1780012286.562001,model,True,partial,vision_not_required,not_required,,78,1780012286144_000033,fa18c_composite_panel_v2,S22,,S22,launch_bar_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
34,cc45ec07-ee1d-48d2-8b92-d138c1d49b56,1780012316.7249591,model,True,partial,vision_not_required,not_required,,89,1780012316302_000034,fa18c_composite_panel_v2,S24,,S24,arresting_hook_handle,1,0,0,0,ok,False,not_needed,,observable,False,airfield
35,022a0321-acd3-442c-836d-2b5ba001dbd4,1780012339.3048654,model,True,partial,vision_not_required,not_required,,87,1780012338849_000035,fa18c_composite_panel_v2,S25,,S25,arresting_hook_handle,1,0,0,0,ok,False,not_needed,,observable,False,airfield
36,a8a7e8e7-417f-4daf-8ea3-848d541b5aad,1780012355.3757873,model,True,partial,vision_not_required,not_required,,87,1780012354954_000036,fa18c_composite_panel_v2,S26,,S26,pitot_heater_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
37,f264a963-10f5-4f3c-b5e0-52b8452b5027,1780012369.129766,model,True,partial,vision_not_required,not_required,,77,1780012368688_000037,fa18c_composite_panel_v2,S28,,S28,parking_brake_handle,1,0,0,0,ok,False,not_needed,,observable,False,airfield
38,e8271505-c050-46cf-a4a3-45b4aec4e323,1780012388.4179392,model,True,partial,vision_not_required,not_required,,84,1780012388000_000038,fa18c_composite_panel_v2,S29,,S29,ifei_up_button,1,0,0,0,ok,False,not_needed,,observable,False,airfield
39,dbcc1141-d59a-401c-a929-323505c2e875,1780012403.7764387,model,True,partial,vision_not_required,not_required,,78,1780012403271_000039,fa18c_composite_panel_v2,S29,vars.bingo_fuel_set==true,S29,ifei_up_button,1,0,0,0,ok,False,not_needed,,observable,False,airfield
40,3efcc996-0899-4747-987c-ae1d5cd47039,1780012425.4764755,model,True,partial,vision_not_required,not_required,,86,1780012424920_000040,fa18c_composite_panel_v2,S29,vars.bingo_fuel_set==true,S29,ifei_up_button,1,0,0,0,ok,False,not_needed,,observable,False,airfield
41,cb0153e4-dcce-46da-a0ec-1dcd6a063e85,1780012445.0843318,model,True,partial,vision_not_required,not_required,,88,1780012444692_000041,fa18c_composite_panel_v2,S31,,S31,radar_altimeter_bug_knob,1,0,0,0,ok,False,not_needed,,observable,False,airfield
42,b1dd0fbd-2613-4530-b958-dd05029b75a4,1780012491.259791,model,True,partial,vision_not_required,not_required,,84,1780012490835_000042,fa18c_composite_panel_v2,S32,,S32,standby_attitude_cage_knob,1,0,0,0,ok,False,not_needed,,observable,False,airfield
43,0e588fc9-492b-4343-99c7-c50be8a9d848,1780012512.6866536,model,True,partial,vision_not_required,not_required,,99,1780012512163_000043,fa18c_composite_panel_v2,S33,,S33,,0,0,0,0,ok,False,final_evidence_consistency_validator,,observable,False,airfield
