cycle_index,help_cycle_id,trigger_wall_s,generation_mode,vision_used,vision_status,vision_fact_status,vlm_call_status,vision_fallback_reason,sync_delta_ms,frame_ids,layout_id,fused_step_id,fused_missing_conditions,model_next_step_id,overlay_targets,overlay_executed,overlay_rejected,overlay_dropped,overlay_dry_run_count,response_status,fallback_overlay_used,fallback_overlay_reason,response_mapping_failure_codes,observability_status,requires_visual_confirmation,scenario_profile
0,d3a09f05-2d49-458d-8111-4e91a84a58d5,1780011488.5635989,model,True,partial,vision_not_required,not_required,,134,1780011488094_000000,fa18c_composite_panel_v2,S01,vars.battery_on==true,S01,battery_switch,1,0,0,0,ok,True,model,,observable,False,airfield
1,cab7fb83-076c-4d2e-9cb1-75b0aa77ae92,1780011504.0464118,model,True,partial,vision_not_required,not_required,,105,1780011503645_000001,fa18c_composite_panel_v2,S02,vars.fire_test_a_complete==true,S02,fire_test_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
2,a833e78c-7ed2-4a44-99f6-0ece0b631826,1780011565.8051357,model,True,partial,vision_not_required,not_required,,96,1780011565400_000002,fa18c_composite_panel_v2,S03,vars.apu_start_support_complete==true,S03,apu_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
3,69f9ed6d-cbb7-4dda-8cde-828d76de3030,1780011595.2612834,model,True,partial,vision_not_required,not_required,,85,1780011594823_000003,fa18c_composite_panel_v2,S04,vars.engine_crank_right_complete==true,S04,eng_crank_switch,1,0,0,0,ok,False,not_needed,,observable,False,airfield
4,a2404869-68b3-4248-af21-a33efc2d27d9,1780011620.944175,model,True,partial,vision_not_required,not_required,,100,1780011620475_000004,fa18c_composite_panel_v2,S05,,S05,,0,0,0,0,ok,False,validator_rejected_no_action,,observable,False,airfield
5,64d66b07-ffab-47f3-a0b9-b7c70bb671a2,1780011660.1188085,model,True,partial,vision_not_required,not_required,,87,1780011659687_000005,fa18c_composite_panel_v2,S06,vars.bleed_air_cycle_complete==true,S06,bleed_air_knob,1,0,0,0,ok,False,not_needed,,observable,False,airfield
6,1a629d32-ad8d-41e6-aba5-2262d55fe85f,1780011680.9933574,model,True,partial,vision_not_required,not_required,,83,1780011680603_000006,fa18c_composite_panel_v2,S07,vars.lights_test_complete==true,S07,lights_test_button,1,0,0,0,ok,False,not_needed,,observable,False,airfield
7,9af933fa-ba9c-4ef2-9d81-fa817330f9f9,1780011706.5873623,model,True,partial,available,called,,81,1780011699936_000007,fa18c_composite_panel_v2,S08,,S08,left_mdi_brightness_selector;right_mdi_brightness_selector;ampcd_off_brightness_knob;hud_symbology_brightness_knob,4,0,0,0,ok,True,state_action_planner,,observable,False,airfield
8,7ce9d9d5-55aa-42be-bdfd-0dbf45b81808,1780011761.3035662,model,True,partial,available,called,,106,1780011754567_000008,fa18c_composite_panel_v2,S08,,S08,left_mdi_pb18,1,0,0,0,ok,True,final_evidence_consistency_validator,,observable,False,airfield
9,c442e726-fdf1-4877-9146-c71ac601694f,1780011798.359635,model,True,partial,available,called,,110,1780011791614_000009,fa18c_composite_panel_v2,S08,,S08,left_mdi_pb18,1,0,0,0,ok,True,final_evidence_consistency_validator,,observable,False,airfield
